p	SIGMA	TMASS	CRATIO	EXCESS	H
232513	-1.826952	1.25	0.975149137052	0.886980239567	0.281855208096
232801	-1.828738	1.453125	1.13391931622	1.60964298657	0.281506522738
232961	-1.829729	1.080078125	0.842946237397	0.284658275397	0.281313181176
233921	-1.835662	1.08203125	0.845232127696	0.292802808137	0.280158686052
234529	-1.839407	1.212890625	0.94799117985	0.761868091716	0.279432394288
234721	-1.840587	1.09375	0.855024025332	0.33577620737	0.279203820706
234977	-1.842160	1.25390625	0.980457116209	0.910385731384	0.278899636986
235009	-1.842356	1.3203125	1.03241229342	1.14864301995	0.278861660617
235489	-1.845300	1.26171875	0.987033880085	0.940442308976	0.278293253613
235553	-1.845692	1.18359375	0.925972003513	0.659892555028	0.27821764104
236129	-1.849216	1.013671875	0.793456713999	0.0492610997463	0.277538972341
236449	-1.851170	1.306640625	1.02308025968	1.10635338583	0.277163362924
236609	-1.852145	1.29296875	1.01252397191	1.05774079452	0.276975939208
236641	-1.852341	1.517578125	1.18845045628	1.8689281312	0.276938484878
236737	-1.852926	1.150390625	0.900976687853	0.543267344024	0.276826182641
236897	-1.853900	1.34375	1.05256832528	1.2425931754	0.276639214511
236993	-1.854485	1.48828125	1.16588295391	1.7657623908	0.27652715481
237089	-1.855069	1.1572265625	0.906622371248	0.5688058057	0.276415185858
237217	-1.855848	1.15234375	0.902902465859	0.551438580053	0.276266034896
237313	-1.856432	1.14453125	0.896859627705	0.52337139744	0.276154277263
237409	-1.857015	1.33203125	1.04387677931	1.20282607815	0.276042610011
237857	-1.859735	1.08203125	0.848304197313	0.297729564832	0.275522688002
238081	-1.861093	1.1171875	0.876044467971	0.425728499084	0.275263460755
238369	-1.862837	1.265625	0.99270087141	0.9661519131	0.274930884469
238529	-1.863805	1.5126953125	1.18666366356	1.86606699009	0.274746466887
238657	-1.864579	1.48828125	1.16764654653	1.77816034609	0.274599110858
239137	-1.867478	1.17578125	0.922870499361	0.641425204566	0.274047930684
239201	-1.867864	1.0625	0.834004064174	0.228123331044	0.27397460713
239233	-1.868057	1.328125	1.04253506971	1.19780770771	0.273937960064
239297	-1.868443	1.04296875	0.818743743993	0.156897733558	0.273864695337
239329	-1.868636	1.08984375	0.85556580916	0.328102767128	0.273828077667
239489	-1.869600	1.4375	1.12865032752	1.59878595407	0.273645136102
239521	-1.869793	1.38671875	1.08881078136	1.4134014148	0.273608577118
239713	-1.870949	1.4921875	1.17182337702	1.80031650549	0.273389428191
239873	-1.871911	1.4296875	1.1229025752	1.5727539435	0.273207072076
240257	-1.874219	1.1796875	0.926865907831	0.658749976158	0.272770408354
240353	-1.874795	1.30078125	1.02209526291	1.10313078174	0.272661460435
240641	-1.876523	1.197265625	0.940998632374	0.724348779517	0.272335138235
240769	-1.877290	1.15625	0.908865559216	0.574046787976	0.272190356732
241249	-1.880163	1.10546875	0.869319229389	0.388254069867	0.271648794399
241313	-1.880546	1.5	1.17963780113	1.84110017548	0.27157674887
241441	-1.881311	1.23046875	0.967781212436	0.849082253281	0.271432772396
241537	-1.881885	1.1015625	0.866468129828	0.374320615892	0.271324890182
241601	-1.882267	1.5625	1.22910229507	2.07370965896	0.271253016337
241793	-1.883413	1.41796875	1.11559935303	1.54210601921	0.271037623091
241921	-1.884176	1.18359375	0.931307841102	0.677732259003	0.270894217534
242273	-1.886274	1.18359375	0.931596347703	0.678718373293	0.270500633583
