family	N	kappa	p	SIGMA	TNUM	NKER	TMASSf	CRATIO	EXCESS	ZFRATIO	ZFLOOR_OK	tag
M4	16	1	156353	-1.2544473754624796	68608	97	1.046875	0.7376786796717263	0.11183408674753949	2.4975898265838623	True	LAD16-exhaustive
M4	16	1	156577	-1.2565127814277375	82304	321	1.255859375	0.8853132354819866	0.6113022561894408	3.0004683434963226	True	LAD16-exhaustive
M4	16	1	156641	-1.2571023547211126	78336	353	1.1953125	0.8427325422750432	0.46683368142977033	2.8569785356521606	True	LAD16-exhaustive
M4	16	1	156833	-1.258869630364316	108544	321	1.65625	1.1681296600679953	1.5704838063630122	3.9635415077209473	True	LAD16-exhaustive
M4	16	1	157057	-1.2609287194975636	105344	321	1.607421875	1.1341686018449675	1.4557085133421073	3.852185934782028	True	LAD16-exhaustive
M4	16	1	157217	-1.2623977002372087	73472	225	1.12109375	0.7912611159215182	0.2905011992637522	2.6894378066062927	True	LAD16-exhaustive
M4	16	1	157793	-1.2676736804897963	87296	257	1.33203125	0.9411502679075172	0.799453834306096	3.2071717381477356	True	LAD16-exhaustive
M4	16	1	157889	-1.268551137729645	110400	289	1.6845703125	1.1904500952015562	1.6492885033999007	4.058458283543587	True	LAD16-exhaustive
M4	16	1	158017	-1.2697202511706003	84992	257	1.296875	0.9166918518957557	0.7158205062180514	3.126957654953003	True	LAD16-exhaustive
M4	16	1	158113	-1.27059646493192	97408	257	1.486328125	1.0507932055199465	1.1733394190604258	3.585934430360794	True	LAD16-exhaustive
M4	16	1	158209	-1.2714721468520978	78720	353	1.201171875	0.8493465798943212	0.48565195959220264	2.899722307920456	True	LAD16-exhaustive
M4	16	1	158657	-1.2755516492851768	113728	289	1.7353515625	1.2280798282345602	1.7802498337005035	4.201136365532875	True	LAD16-exhaustive
M4	16	1	158849	-1.2772964823378743	115712	449	1.765625	1.2499454757246506	1.855783407721065	4.2795984745025635	True	LAD16-exhaustive
M4	16	1	158881	-1.277587082794014	89088	161	1.359375	0.96240401475385	0.871257486457618	3.2955758571624756	True	LAD16-exhaustive
M4	16	1	159073	-1.2793294573608982	92224	193	1.4072265625	0.9966330272143579	0.9884603795920119	3.4157066494226456	True	LAD16-exhaustive
M4	16	1	159169	-1.2801998561651189	105728	193	1.61328125	1.142767210558112	1.4895149657625697	3.918218433856964	True	LAD16-exhaustive
M4	16	1	159233	-1.2807798304357583	93696	161	1.4296875	1.0128373686979464	1.0440288347829405	3.473715662956238	True	LAD16-exhaustive
M4	16	1	159361	-1.281939079983271	119040	289	1.81640625	1.2871030005257986	1.9852493538757916	4.416874945163727	True	LAD16-exhaustive
M4	16	1	159457	-1.2828079062610271	75008	161	1.14453125	0.8111555945600288	0.3516673461699855	2.7847827076911926	True	LAD16-exhaustive
M4	16	1	159521	-1.2833868332331448	76288	289	1.1640625	0.8250942612616415	0.39935018024719615	2.833441376686096	True	LAD16-exhaustive
M4	16	1	159553	-1.2836762096252237	85248	257	1.30078125	0.9220551552337308	0.7322888652056153	3.166863262653351	True	LAD16-exhaustive
M4	16	1	159617	-1.2842547883378508	109568	321	1.671875	1.1852422890980316	1.6364182784008545	4.071955442428589	True	LAD16-exhaustive
M4	16	1	159937	-1.287144206510689	96640	193	1.474609375	1.046003936672292	1.1582757245651178	3.598702996969223	True	LAD16-exhaustive
M4	16	1	160001	-1.2877213963652778	92416	193	1.41015625	1.000400867960104	1.0013795705539026	3.4427857995033264	True	LAD16-exhaustive
M4	16	1	160033	-1.288009904720404	86528	353	1.3203125	0.9367178425685381	0.782186164835584	3.2240840196609497	True	LAD16-exhaustive
M4	16	1	160481	-1.2920429753459146	77312	193	1.1796875	0.8376284408515327	0.4400157120241093	2.888754725456238	True	LAD16-exhaustive
M4	16	1	161281	-1.2992169636412996	95872	289	1.462890625	1.04021084443172	1.139169342956054	3.600104719400406	True	LAD16-exhaustive
M4	16	1	161377	-1.3000754498899703	100864	257	1.5390625	1.094562160936839	1.3274172436484322	3.789814591407776	True	LAD16-exhaustive
M4	16	1	161569	-1.3017908913599783	99072	353	1.51171875	1.075484741434541	1.2615836838139924	3.726911723613739	True	LAD16-exhaustive
M4	16	1	161729	-1.3032188694197728	97280	193	1.484375	1.0563330944408265	1.1953533894102388	3.663123846054077	True	LAD16-exhaustive
M4	16	1	161761	-1.303504295500698	162816	289	2.484375	1.7680688809965859	3.6639045452811474	6.132125616073608	True	LAD16-exhaustive
M4	16	1	161921	-1.3049305794790662	82304	257	1.255859375	0.8940190887880514	0.6321661075665674	3.102874845266342	True	LAD16-exhaustive
M4	16	1	162017	-1.3057856735278044	103744	321	1.5830078125	1.127101395539536	1.4413241284475853	3.913485363125801	True	LAD16-exhaustive
M4	16	1	162209	-1.307494342667411	88960	353	1.357421875	0.9668138125345783	0.8846729979686427	3.35977241396904	True	LAD16-exhaustive
M4	16	1	162529	-1.3103376351833127	109312	321	1.66796875	1.1886720085973674	1.6565849236095216	4.136555373668671	True	LAD16-exhaustive
M4	16	1	162593	-1.3109056218702158	99200	321	1.513671875	1.0788349136093554	1.2744251342317083	3.7553779780864716	True	LAD16-exhaustive
M4	16	1	162881	-1.3134587983464812	98368	353	1.5009765625	1.0703302898070297	1.2451295258497368	3.730477347970009	True	LAD16-exhaustive
M4	16	1	163169	-1.3160074643782913	90240	321	1.376953125	0.9823879969441942	0.9385376432917525	3.428284674882889	True	LAD16-exhaustive
M4	16	1	163393	-1.3179866520354118	81408	193	1.2421875	0.8865876703046373	0.603826080529488	3.0969961881637573	True	LAD16-exhaustive
M4	16	1	163841	-1.321936900372215	96512	353	1.47265625	1.0519037417003088	1.1816658679522392	3.6816630959510803	True	LAD16-exhaustive
M4	16	1	164321	-1.3261573409685248	80896	321	1.234375	0.88243828473044	0.587666657129778	3.0949971675872803	True	LAD16-exhaustive
M4	16	1	164449	-1.327280709734314	82432	257	1.2578125	0.8993930352220154	0.6469368705653468	3.1562196016311646	True	LAD16-exhaustive
M4	16	1	164513	-1.3278420662665695	90624	289	1.3828125	0.9888833322284915	0.9609770780880446	3.4712315797805786	True	LAD16-exhaustive
M4	16	1	165089	-1.3328844700717433	74624	289	1.138671875	0.8151025095908275	0.3493278579671168	2.868380755186081	True	LAD16-exhaustive
M4	16	1	165313	-1.3348406551957517	75520	225	1.15234375	0.8252070728087313	0.3842893468184939	2.9067596793174744	True	LAD16-exhaustive
M4	16	1	165569	-1.3370730522687921	66560	33	1.015625	0.7276205328553379	0.03947532806897078	2.565857172012329	True	LAD16-exhaustive
M4	16	1	165601	-1.3373518591743228	77056	257	1.17578125	0.8424068547575886	0.4441832727740902	2.9710472226142883	True	LAD16-exhaustive
M4	16	1	165857	-1.3395803768381285	79104	225	1.20703125	0.8651750364370852	0.5239579160944533	3.0547268986701965	True	LAD16-exhaustive
M4	16	1	166081	-1.3415275099666886	71168	129	1.0859375	0.7786749876411819	0.21778570134279393	2.751977324485779	True	LAD16-exhaustive
M4	16	1	166273	-1.3431943921385	80192	193	1.2236328125	0.8776966223461334	0.5673929752470054	3.104508951306343	True	LAD16-exhaustive
M4	16	1	166561	-1.3456911098745188	85504	161	1.3046875	0.9362938382716635	0.7743809367132067	3.315888285636902	True	LAD16-exhaustive
M4	16	1	166657	-1.3465223898639387	87296	161	1.33203125	0.9560722679129772	0.8443630431258107	3.387334167957306	True	LAD16-exhaustive
M4	16	1	166849	-1.3481835142722112	78720	257	1.201171875	0.8624273881673222	0.5121740470263981	3.0580799281597137	True	LAD16-exhaustive
M4	16	1	167009	-1.3495663250732974	94720	193	1.4453125	1.0379979501191172	1.1348316977569237	3.6831694841384888	True	LAD16-exhaustive
M4	16	1	167329	-1.3523279767793923	98560	257	1.50390625	1.0806613684650697	1.2866121752689403	3.839830458164215	True	LAD16-exhaustive
M4	16	1	167393	-1.3528796733140815	70912	193	1.08203125	0.7775984726235146	0.20952860351338978	2.7637398838996887	True	LAD16-exhaustive
M4	16	1	167521	-1.3539824338688788	94080	353	1.435546875	1.0318732323856712	1.113347799601358	3.6694984138011932	True	LAD16-exhaustive
M4	16	1	167777	-1.356185429426457	98368	257	1.5009765625	1.0793673052674637	1.2825565686512932	3.842610850930214	True	LAD16-exhaustive
