p	SIGMA	UMIN	H	PREDCR_est	PREDCR_exact	BONUS	AU
8113869889	-0.917743	6	0.529336	1.653878			
8110470593	-0.917138	6	0.529558	1.653783			
8110292417	-0.917107	6	0.529570	1.653779			
8098471489	-0.915002	6	0.530343	1.653448			
8095053313	-0.914393	6	0.530567	1.653353			
8088887489	-0.913294	6	0.530971	1.653180			
8087941313	-0.913125	6	0.531033	1.653154			
8072948993	-0.910449	6	0.532020	1.652733			
8021363201	-0.901200	6	0.535441	1.651279			
8020319873	-0.901013	6	0.535511	1.651249			
8003643649	-0.898010	6	0.536627	1.650776			
7998072833	-0.897005	6	0.537000	1.650618			
7988408513	-0.895261	6	0.537650	1.650343			
7959979969	-0.890118	6	0.539570	1.649532			
7958490049	-0.889848	6	0.539671	1.649489			
7951905281	-0.888653	6	0.540118	1.649301			
7941229441	-0.886715	6	0.540844	1.648995			
7938605057	-0.886238	6	0.541023	1.648920			
7919330561	-0.882731	6	0.542340	1.648366			
7898620033	-0.878953	6	0.543762	1.647768			
7886806657	-0.876794	6	0.544576	1.647427			
7885533889	-0.876561	6	0.544664	1.647390			
7883235137	-0.876141	6	0.544823	1.647323			
7870824769	-0.873868	6	0.545682	1.646964			
7858846529	-0.871670	6	0.546514	1.646616			
7848816193	-0.869828	6	0.547212	1.646324			
7846849537	-0.869466	6	0.547349	1.646267			
7839087169	-0.868039	6	0.547891	1.646040			
7833628289	-0.867034	6	0.548273	1.645881			
7833337153	-0.866980	6	0.548293	1.645872			
7825352641	-0.865509	6	0.548853	1.645639			
7799451713	-0.860726	6	0.550676	1.644880			
7770299969	-0.855323	6	0.552742	1.644022			
7742363393	-0.850127	6	0.554736	1.643196			
7736862209	-0.849101	6	0.555130	1.643033			
7723068673	-0.846527	6	0.556122	1.642623			
7720347841	-0.846019	6	0.556318	1.642542			
7719652673	-0.845889	6	0.556368	1.642522			
7710748481	-0.844224	6	0.557010	1.642256			
7706170369	-0.843367	6	0.557341	1.642120			
7704131521	-0.842985	6	0.557489	1.642059			
2029795969	1.081312	5	2.115960	1.641857			
7694367041	-0.841156	6	0.558196	1.641768			
7692981697	-0.840896	6	0.558297	1.641726			
7690959553	-0.840516	6	0.558444	1.641666			
7684364993	-0.839279	6	0.558923	1.641469			
2025800129	1.084155	5	2.120134	1.640998			
2025615041	1.084287	5	2.120328	1.640958			
7664191681	-0.835486	6	0.560394	1.640864			
7659235393	-0.834553	6	0.560757	1.640715			
7639690369	-0.830867	6	0.562191	1.640126			
7637914049	-0.830532	6	0.562322	1.640073			
7637372929	-0.830429	6	0.562362	1.640057			
7620970369	-0.827328	6	0.563572	1.639561			
7599356993	-0.823230	6	0.565175	1.638906			
7593602369	-0.822137	6	0.565603	1.638731			
7543578817	-0.812602	6	0.569354	1.637205			
7535586049	-0.811073	6	0.569958	1.636960			
7533360193	-0.810646	6	0.570126	1.636891			
7525539841	-0.809148	6	0.570719	1.636651			
7522484353	-0.808562	6	0.570951	1.636557			
2003887297	1.099846	5	2.143318	1.636270			
3163144001	0.441288	7	1.357816	1.636182			
7493474561	-0.802988	6	0.573161	1.635663			
7452962753	-0.795167	6	0.576277	1.634406			
7415606593	-0.787918	6	0.579179	1.633240			
7408250753	-0.786486	6	0.579755	1.633010			
7398703937	-0.784625	6	0.580503	1.632710			
7377580481	-0.780501	6	0.582165	1.632045			
7364975809	-0.778034	6	0.583161	1.631648			
1980328897	1.116907	5	2.168815	1.631151			
7341055937	-0.773340	6	0.585061	1.630890			
7326381313	-0.770454	6	0.586233	1.630424			
7313019521	-0.767820	6	0.587304	1.629999			
7297715969	-0.764798	6	0.588536	1.629511			
7292875201	-0.763841	6	0.588926	1.629356			
7283413633	-0.761968	6	0.589692	1.629053			
7277695681	-0.760835	6	0.590155	1.628870			
7249429633	-0.755220	7	0.592456	1.627961			
7246766977	-0.754690	6	0.592674	1.627875			
7237412929	-0.752827	6	0.593440	1.627573			
7170085249	-0.739343	6	0.599012	1.625386			
7167136001	-0.738750	6	0.599259	1.625290			
